Source,Target,Trade_Id,Bitcoins,Money,Money_Rate,Date
100,47,35775,56.94,39.903,0.700790306,2011-04-04
293,47,35776,21.23,14.882,0.700989166,2011-04-04
293,47,35777,2.785,1.963,0.704847397,2011-04-04
3353,47,35778,174.89,131.132,0.749797015,2011-04-04
2622,47,35779,71.31,53.482,0.749992988,2011-04-04
2413,47,35780,77.5,59.752,0.770993548,2011-04-04
591,47,35781,439.87,345.297,0.78499784,2011-04-04
646,47,35782,355.475,279.047,0.784997539,2011-04-04
1347,47,35783,93,72.995,0.784892473,2011-04-04
293,3443,35784,10,6.105,0.6105,2011-04-04
3966,1107,35785,30.39,23.339,0.767982889,2011-04-04
646,1107,35786,69.61,53.461,0.76800747,2011-04-04
646,682,35787,15.729,11.01,0.699980927,2011-04-04
646,3966,35788,33.129,23.19,0.699990944,2011-04-04
646,3353,35789,10,7.002,0.7002,2011-04-04
293,3353,35790,192.115,123.28,0.641698982,2011-04-04
293,100,35791,126,80.854,0.641698413,2011-04-04
293,512,35792,14.885,9.55,0.641585489,2011-04-04
100,2718,35793,28,19.866,0.7095,2011-04-04
100,2718,35794,14.31,10.15,0.7092942,2011-04-04
100,2718,35795,67.69,48.019,0.709395775,2011-04-04
100,2718,35796,15,10.641,0.7094,2011-04-04
3966,2718,35797,43,30.53,0.71,2011-04-04
3966,722,35798,0.96,0.681,0.709375,2011-04-04
646,722,35799,10.59,7.519,0.710009443,2011-04-04
646,2654,35800,95,66.025,0.695,2011-04-04
53,100,35801,135.57,88.093,0.649797153,2011-04-04
53,1375,35802,10,6.497,0.6497,2011-04-04
646,512,35803,12.983,8.329,0.641531233,2011-04-04
53,1638,35804,100,64.14,0.6414,2011-04-04
646,4369,35805,75,48,0.64,2011-04-04
53,63,35806,40,25.2,0.63,2011-04-04
53,3682,35807,13,8.008,0.616,2011-04-04
53,3443,35808,347.456,212.399,0.611297546,2011-04-04
53,293,35809,115.39,70.482,0.610815495,2011-04-04
53,1608,35810,65,39.695,0.610692308,2011-04-04
53,1375,35811,30,18.315,0.6105,2011-04-04
53,646,35812,212.12,129.497,0.610489346,2011-04-04
895,1638,35813,25,15.285,0.6114,2011-04-04
591,1638,35814,10,6.114,0.6114,2011-04-04
2824,646,35815,10,6.4,0.64,2011-04-04
2824,698,35816,20,13.98,0.699,2011-04-04
2824,698,35817,10,7.3,0.73,2011-04-04
1638,646,35818,134.12,98.095,0.731397256,2011-04-04
1608,698,35819,65,48.178,0.7412,2011-04-04
1375,646,35820,10,7.44,0.744,2011-04-04
2387,698,35821,18.75,14.248,0.759893333,2011-04-04
646,698,35822,288.673,219.365,0.75990827,2011-04-04
3353,698,35823,350.8,269.659,0.768697263,2011-04-04
591,698,35824,0.004,0.003,0.75,2011-04-04
591,698,35825,384.232,295.377,0.768746486,2011-04-04
1496,698,35826,59.556,45.786,0.768789039,2011-04-04
2824,3966,35827,10,6.7,0.67,2011-04-04
646,2824,35828,10,7,0.7,2011-04-04
3966,122,35829,9.94,7.276,0.731991952,2011-04-04
646,122,35830,128.4,93.99,0.732009346,2011-04-04
3461,122,35831,11.25,8.246,0.732977778,2011-04-04
2824,122,35832,10,7.33,0.733,2011-04-04
